time,date,climate,response,zero_flow,climate_interp,climate_corrupt,response_interp,phase,site,disturbance,class
164,2001-03-13,0.0014,249.18828,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
165,2001-03-14,0,226.5348,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
166,2001-03-15,0,201.049635,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
167,2001-03-16,0,192.55458,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
168,2001-03-17,0,172.732785,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
169,2001-03-18,0,161.406045,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
170,2001-03-19,0,150.079305,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
171,2001-03-20,0,138.752565,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
172,2001-03-21,0.0051,130.25751,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
173,2001-03-22,0,118.93077,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
174,2001-03-23,0,110.435715,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
175,2001-03-24,0,104.772345,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
176,2001-03-25,0.0516,99.108975,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
177,2001-03-26,0,96.27729,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
178,2001-03-27,0,90.61392,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
179,2001-03-28,0,84.95055,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
180,2001-03-29,0,82.118865,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
181,2001-03-30,0,76.455495,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
182,2001-03-31,0.114,73.62381,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
183,2001-04-01,0.1136,70.792125,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
184,2001-04-02,0.1268,67.96044,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
185,2001-04-03,0,65.128755,FALSE,TRUE,FALSE,FALSE,pre,santa_barbara_MC06,burn,pulse
